5 551:1 5551:1 
5 551:1 4377:1 
5 551:1 4379:1 
5 551:1 2976:1 
5 551:1 2976:1 
5 551:1 9353:1 
5 551:1 9353:1 
5 551:1 8038:1 
5 551:1 4214:1 
5 551:1 3884:1 
5 351:1 10115:1 
5 351:1 10115:1 
4 351:1 10381:1 
5 351:1 3740:1 
5 351:1 3740:1 
5 351:1 3740:1 
5 351:1 3740:1 
5 351:1 3740:1 
4 351:1 8513:1 
5 351:1 1665:1 
5 351:1 1005:1 
5 351:1 5575:1 
4 351:1 3970:1 
5 823:1 6775:1 
5 823:1 5830:1 
5 823:1 5241:1 
5 119:1 4053:1 
5 119:1 8515:1 
5 119:1 2382:1 
5 119:1 9866:1 
5 119:1 9866:1 
5 119:1 9866:1 
5 90:1 8252:1 
5 90:1 8325:1 
5 90:1 8325:1 
5 90:1 5124:1 
5 90:1 8062:1 
5 90:1 8062:1 
3 90:1 5572:1 
5 90:1 6897:1 
5 90:1 7762:1 
5 90:1 8012:1 
5 90:1 7609:1 
5 302:1 4785:1 
5 302:1 5555:1 
5 302:1 5047:1 
5 302:1 3689:1 
5 302:1 2510:1 
5 302:1 6501:1 
5 302:1 2996:1 
5 302:1 5575:1 
5 764:1 10367:1 
4 764:1 5988:1 
5 539:1 6788:1 
5 539:1 7016:1 
5 539:1 8386:1 
5 539:1 5326:1 
5 539:1 10025:1 
5 539:1 3544:1 
5 539:1 5806:1 
5 539:1 2617:1 
5 539:1 4694:1 
5 539:1 2460:1 
5 539:1 9281:1 
5 539:1 6316:1 
5 150:1 2986:1 
3 150:1 7187:1 
5 150:1 9673:1 
5 150:1 973:1 
5 150:1 973:1 
5 150:1 5575:1 
5 150:1 2605:1 
5 1:1 9427:1 
5 1:1 9427:1 
5 1:1 5326:1 
5 1:1 2578:1 
5 1:1 5830:1 
5 1:1 6997:1 
5 1:1 6997:1 
5 1:1 6997:1 
5 827:1 1405:1 
5 827:1 1405:1 
5 827:1 1451:1 
5 827:1 1451:1 
5 827:1 1451:1 
5 827:1 1451:1 
5 827:1 1777:1 
5 827:1 1777:1 
5 827:1 1777:1 
5 827:1 5810:1 
5 827:1 7621:1 
5 827:1 7621:1 
5 827:1 8993:1 
5 827:1 7308:1 
3 432:1 7970:1 
3 432:1 3374:1 
3 432:1 9406:1 
3 432:1 2578:1 
3 432:1 2578:1 
3 432:1 2578:1 
3 432:1 7795:1 
5 104:1 5979:1 
5 104:1 3221:1 
5 104:1 10320:1 
3 307:1 4044:1 
5 307:1 5667:1 
5 307:1 8279:1 
5 307:1 8279:1 
5 307:1 8279:1 
5 307:1 8279:1 
5 307:1 1584:1 
5 307:1 4893:1 
5 307:1 4893:1 
5 307:1 4893:1 
5 307:1 4893:1 
3 307:1 4490:1 
5 307:1 8550:1 
5 307:1 6375:1 
3 736:1 1072:1 
3 736:1 3248:1 
3 736:1 4298:1 
3 736:1 9855:1 
3 736:1 6696:1 
5 156:1 2397:1 
5 156:1 3349:1 
5 156:1 3349:1 
5 156:1 3349:1 
3 156:1 3349:1 
3 156:1 3349:1 
3 156:1 3349:1 
3 156:1 3349:1 
3 156:1 3349:1 
3 156:1 3349:1 
3 156:1 3349:1 
3 156:1 3349:1 
3 156:1 3349:1 
3 156:1 3349:1 
3 156:1 3349:1 
3 156:1 3349:1 
3 156:1 3349:1 
5 156:1 7313:1 
5 156:1 6539:1 
5 156:1 6539:1 
3 156:1 6539:1 
3 156:1 6539:1 
5 796:1 8506:1 
3 796:1 7411:1 
5 796:1 5041:1 
5 796:1 5443:1 
5 796:1 1905:1 
5 143:1 4780:1 
5 143:1 3936:1 
5 143:1 5120:1 
5 143:1 9598:1 
5 143:1 2714:1 
5 143:1 8982:1 
5 143:1 1743:1 
5 143:1 1447:1 
5 143:1 2762:1 
5 143:1 2762:1 
5 788:1 6055:1 
5 788:1 9664:1 
5 788:1 5449:1 
5 788:1 1305:1 
5 788:1 7621:1 
5 788:1 4111:1 
5 788:1 4314:1 
5 788:1 3653:1 
5 501:1 1262:1 
5 501:1 2144:1 
5 501:1 2143:1 
5 501:1 3038:1 
5 501:1 5221:1 
5 501:1 5221:1 
5 501:1 5221:1 
5 501:1 5221:1 
5 501:1 10077:1 
5 609:1 2756:1 
5 609:1 9700:1 
5 609:1 9581:1 
5 609:1 9625:1 
5 609:1 9625:1 
5 609:1 9625:1 
5 609:1 9625:1 
5 609:1 1293:1 
5 609:1 1927:1 
5 609:1 6392:1 
5 609:1 6392:1 
5 609:1 6392:1 
5 609:1 9107:1 
5 609:1 9234:1 
5 609:1 9031:1 
5 609:1 7293:1 
5 609:1 1646:1 
5 609:1 5705:1 
5 110:1 8307:1 
5 110:1 971:1 
5 110:1 4471:1 
5 110:1 5446:1 
5 110:1 7727:1 
5 110:1 1585:1 
5 110:1 1585:1 
5 110:1 1585:1 
5 110:1 1585:1 
3 176:1 6138:1 
3 176:1 5375:1 
3 176:1 1889:1 
3 176:1 3850:1 
5 176:1 5279:1 
3 176:1 3447:1 
5 176:1 8398:1 
5 176:1 2705:1 
3 176:1 5709:1 
5 506:1 9451:1 
5 506:1 2261:1 
5 506:1 2261:1 
5 506:1 2261:1 
5 506:1 8799:1 
3 123:1 1543:1 
5 123:1 4334:1 
5 123:1 5605:1 
5 638:1 9107:1 
5 638:1 9107:1 
3 638:1 9107:1 
3 638:1 9107:1 
5 852:1 10027:1 
5 852:1 3500:1 
5 852:1 8090:1 
4 797:1 6315:1 
4 797:1 6315:1 
5 797:1 6115:1 
5 797:1 1865:1 
5 797:1 9166:1 
5 797:1 7456:1 
5 797:1 7456:1 
5 797:1 7456:1 
5 797:1 7456:1 
5 797:1 7456:1 
5 797:1 2476:1 
5 797:1 2476:1 
5 797:1 2476:1 
5 797:1 2476:1 
3 797:1 2452:1 
3 797:1 2608:1 
5 393:1 4093:1 
3 393:1 4093:1 
5 393:1 6894:1 
5 393:1 4701:1 
5 393:1 1643:1 
5 393:1 7264:1 
5 393:1 2807:1 
5 55:1 1664:1 
5 158:1 2109:1 
5 158:1 6315:1 
5 158:1 6315:1 
5 158:1 3805:1 
5 158:1 9842:1 
5 158:1 4798:1 
5 158:1 3427:1 
5 158:1 3440:1 
5 479:1 6874:1 
5 479:1 6874:1 
5 479:1 2318:1 
5 479:1 5774:1 
5 368:1 1665:1 
5 368:1 4949:1 
5 368:1 4949:1 
5 5:1 1927:1 
5 5:1 2852:1 
3 5:1 8435:1 
3 5:1 8766:1 
3 5:1 2476:1 
5 372:1 3717:1 
5 372:1 4192:1 
5 372:1 4192:1 
5 372:1 2838:1 
5 372:1 5584:1 
5 372:1 4666:1 
5 372:1 1793:1 
5 372:1 1793:1 
5 372:1 894:1 
5 372:1 894:1 
5 372:1 914:1 
5 372:1 9676:1 
5 372:1 9676:1 
5 372:1 9676:1 
5 372:1 9676:1 
5 372:1 10190:1 
5 372:1 10190:1 
5 372:1 10190:1 
5 659:1 5131:1 
5 659:1 9537:1 
5 659:1 6023:1 
5 659:1 6023:1 
5 659:1 3717:1 
5 659:1 3091:1 
5 659:1 3091:1 
5 659:1 3386:1 
5 659:1 7017:1 
5 659:1 2838:1 
5 659:1 2838:1 
5 659:1 3349:1 
5 659:1 3349:1 
5 659:1 3349:1 
5 659:1 3349:1 
5 659:1 3349:1 
5 659:1 3349:1 
5 659:1 4311:1 
5 659:1 2854:1 
5 659:1 2854:1 
5 659:1 2854:1 
5 659:1 9032:1 
5 659:1 9032:1 
5 659:1 9032:1 
5 659:1 9032:1 
5 659:1 9032:1 
5 659:1 9032:1 
5 659:1 9512:1 
5 659:1 9512:1 
5 659:1 9512:1 
5 659:1 8569:1 
5 659:1 8569:1 
5 659:1 8569:1 
5 659:1 8569:1 
5 659:1 8569:1 
5 659:1 8569:1 
5 659:1 8569:1 
5 659:1 9415:1 
5 659:1 9415:1 
5 718:1 8178:1 
5 718:1 8178:1 
5 718:1 8178:1 
5 68:1 6366:1 
5 68:1 1261:1 
5 68:1 9602:1 
5 68:1 4671:1 
5 68:1 4282:1 
5 68:1 9058:1 
5 68:1 4706:1 
5 68:1 4947:1 
5 68:1 4732:1 
5 68:1 4732:1 
5 68:1 4732:1 
5 68:1 4237:1 
5 68:1 3169:1 
5 68:1 1413:1 
5 68:1 7459:1 
5 68:1 914:1 
5 68:1 6539:1 
5 68:1 5147:1 
5 68:1 3607:1 
5 68:1 5364:1 
5 535:1 4918:1 
5 535:1 965:1 
5 535:1 965:1 
5 535:1 965:1 
5 535:1 965:1 
3 535:1 965:1 
3 535:1 965:1 
3 535:1 965:1 
3 535:1 965:1 
5 535:1 2458:1 
5 535:1 2458:1 
5 535:1 2458:1 
3 535:1 1302:1 
5 535:1 9815:1 
5 535:1 9239:1 
5 535:1 9239:1 
5 535:1 9239:1 
5 535:1 7356:1 
5 535:1 7356:1 
5 535:1 7356:1 
5 535:1 7356:1 
5 535:1 7356:1 
5 535:1 7356:1 
5 535:1 7356:1 
5 535:1 7356:1 
5 535:1 7356:1 
5 535:1 7356:1 
5 535:1 7356:1 
5 535:1 7356:1 
5 159:1 1437:1 
5 159:1 1437:1 
5 159:1 4918:1 
5 159:1 4377:1 
5 159:1 7522:1 
5 159:1 7522:1 
5 159:1 7522:1 
5 159:1 3248:1 
5 159:1 7419:1 
3 371:1 7019:1 
3 371:1 6979:1 
5 371:1 7967:1 
3 371:1 8635:1 
3 371:1 6543:1 
3 371:1 1511:1 
3 371:1 1511:1 
3 371:1 8643:1 
3 371:1 6486:1 
3 371:1 1927:1 
3 371:1 8279:1 
5 371:1 6223:1 
3 371:1 1438:1 
3 371:1 8630:1 
3 371:1 7664:1 
5 371:1 8690:1 
3 371:1 3123:1 
5 371:1 1144:1 
3 371:1 8426:1 
3 371:1 1459:1 
3 371:1 9780:1 
3 371:1 2912:1 
3 371:1 2318:1 
3 371:1 6897:1 
3 371:1 3631:1 
5 371:1 1428:1 
3 371:1 3784:1 
5 36:1 7589:1 
5 36:1 9581:1 
5 36:1 4879:1 
5 36:1 3598:1 
5 36:1 2397:1 
5 36:1 9489:1 
5 36:1 3349:1 
5 36:1 7727:1 
3 36:1 5279:1 
5 36:1 3813:1 
5 36:1 2318:1 
5 36:1 3829:1 
5 36:1 7350:1 
3 829:1 9016:1 
3 829:1 10228:1 
3 829:1 5279:1 
5 829:1 8380:1 
5 829:1 8380:1 
5 829:1 8380:1 
5 829:1 7958:1 
5 829:1 7958:1 
5 829:1 3813:1 
5 829:1 3813:1 
3 829:1 9944:1 
3 829:1 6830:1 
5 642:1 3771:1 
5 642:1 3038:1 
5 642:1 3038:1 
